cnty_fips,display_name,,Urban-Rural Status,,,,,,
53033,"""King, (WA)""",,Urban,,,,,,
53035,"""Kitsap, (WA)""",,Small City,,,,,,
53037,"""Kittitas, (WA)""",,Rural,,,,,,
53039,"""Klickitat, (WA)""",,Rural,,,,,,
53041,"""Lewis, (WA)""",,Rural,,,,,,
53045,"""Mason, (WA)""",,Rural,,,,,,
53047,"""Okanogan, (WA)""",,Rural,,,,,,
53049,"""Pacific, (WA)""",,Rural,,,,,,
53053,"""Pierce, (WA)""",,Suburban,,,,,,
53055,"""San Juan, (WA)""",,Rural,,,,,,
53057,"""Skagit, (WA)""",,Small City,,,,,,
53059,"""Skamania, (WA)""",,Suburban,,,,,,
53061,"""Snohomish, (WA)""",,Suburban,,,,,,
53067,"""Thurston, (WA)""",,Small City,,,,,,
53069,"""Wahkiakum, (WA)""",,Rural,,,,,,
53073,"""Whatcom, (WA)""",,Small City,,,,,,
53077,"""Yakima, (WA)""",,Small City,,,,,,
4001,"""Apache, (AZ)""",,Rural,,,,,,
4003,"""Cochise, (AZ)""",,Small City,,,,,,
4005,"""Coconino, (AZ)""",,Small City,,,,,,
4007,"""Gila, (AZ)""",,Rural,,,,,,
4009,"""Graham, (AZ)""",,Rural,,,,,,
4011,"""Greenlee, (AZ)""",,Rural,,,,,,
4012,"""La Paz, (AZ)""",,Rural,,,,,,
4013,"""Maricopa, (AZ)""",,Urban,,,,,,
4015,"""Mohave, (AZ)""",,Small City,,,,,,
4017,"""Navajo, (AZ)""",,Rural,,,,,,
4019,"""Pima, (AZ)""",,Small City,,,,,,
4021,"""Pinal, (AZ)""",,Suburban,,,,,,
4023,"""Santa Cruz, (AZ)""",,Rural,,,,,,
4025,"""Yavapai, (AZ)""",,Small City,,,,,,
4027,"""Yuma, (AZ)""",,Small City,,,,,,
6003,"""Alpine, (CA)""",,Rural,,,,,,
6019,"""Fresno, (CA)""",,Small City,,,,,,
6025,"""Imperial, (CA)""",,Small City,,,,,,
6027,"""Inyo, (CA)""",,Rural,,,,,,
6029,"""Kern, (CA)""",,Small City,,,,,,
6037,"""Los Angeles, (CA)""",,Urban,,,,,,
6039,"""Madera, (CA)""",,Small City,,,,,,
6051,"""Mono, (CA)""",,Rural,,,,,,
6059,"""Orange, (CA)""",,Urban,,,,,,
6065,"""Riverside, (CA)""",,Urban,,,,,,
6071,"""San Bernardino, (CA)""",,Suburban,,,,,,
6073,"""San Diego, (CA)""",,Urban,,,,,,
6107,"""Tulare, (CA)""",,Small City,,,,,,
6111,"""Ventura, (CA)""",,Small City,,,,,,
8007,"""Archuleta, (CO)""",,Rural,,,,,,
8029,"""Delta, (CO)""",,Rural,,,,,,
8033,"""Dolores, (CO)""",,Rural,,,,,,
8045,"""Garfield, (CO)""",,Rural,,,,,,
8051,"""Gunnison, (CO)""",,Rural,,,,,,
8053,"""Hinsdale, (CO)""",,Rural,,,,,,
8067,"""La Plata, (CO)""",,Rural,,,,,,
8077,"""Mesa, (CO)""",,Small City,,,,,,
8079,"""Mineral, (CO)""",,Rural,,,,,,
8081,"""Moffat, (CO)""",,Rural,,,,,,
8083,"""Montezuma, (CO)""",,Rural,,,,,,
8085,"""Montrose, (CO)""",,Rural,,,,,,
8091,"""Ouray, (CO)""",,Rural,,,,,,
8097,"""Pitkin, (CO)""",,Rural,,,,,,
8103,"""Rio Blanco, (CO)""",,Rural,,,,,,
8107,"""Routt, (CO)""",,Rural,,,,,,
8111,"""San Juan, (CO)""",,Rural,,,,,,
8113,"""San Miguel, (CO)""",,Rural,,,,,,
16001,"""Ada, (ID)""",,Small City,,,,,,
16005,"""Bannock, (ID)""",,Small City,,,,,,
16007,"""Bear Lake, (ID)""",,Rural,,,,,,
16011,"""Bingham, (ID)""",,Rural,,,,,,
16013,"""Blaine, (ID)""",,Rural,,,,,,
16015,"""Boise, (ID)""",,Small City,,,,,,
16019,"""Bonneville, (ID)""",,Small City,,,,,,
16023,"""Butte, (ID)""",,Small City,,,,,,
16025,"""Camas, (ID)""",,Rural,,,,,,
16027,"""Canyon, (ID)""",,Small City,,,,,,
16029,"""Caribou, (ID)""",,Rural,,,,,,
16031,"""Cassia, (ID)""",,Rural,,,,,,
16033,"""Clark, (ID)""",,Rural,,,,,,
16037,"""Custer, (ID)""",,Rural,,,,,,
16039,"""Elmore, (ID)""",,Rural,,,,,,
16041,"""Franklin, (ID)""",,Small City,,,,,,
16043,"""Fremont, (ID)""",,Rural,,,,,,
16045,"""Gem, (ID)""",,Small City,,,,,,
16047,"""Gooding, (ID)""",,Rural,,,,,,
16051,"""Jefferson, (ID)""",,Small City,,,,,,
16053,"""Jerome, (ID)""",,Rural,,,,,,
16063,"""Lincoln, (ID)""",,Rural,,,,,,
16065,"""Madison, (ID)""",,Rural,,,,,,
16067,"""Minidoka, (ID)""",,Rural,,,,,,
16071,"""Oneida, (ID)""",,Rural,,,,,,
16073,"""Owyhee, (ID)""",,Small City,,,,,,
16075,"""Payette, (ID)""",,Rural,,,,,,
16077,"""Power, (ID)""",,Rural,,,,,,
16081,"""Teton, (ID)""",,Rural,,,,,,
16083,"""Twin Falls, (ID)""",,Rural,,,,,,
16087,"""Washington, (ID)""",,Rural,,,,,,
32001,"""Churchill, (NV)""",,Rural,,,,,,
32003,"""Clark, (NV)""",,Urban,,,,,,
32005,"""Douglas, (NV)""",,Rural,,,,,,
32007,"""Elko, (NV)""",,Rural,,,,,,
32009,"""Esmeralda, (NV)""",,Rural,,,,,,
32011,"""Eureka, (NV)""",,Rural,,,,,,
32013,"""Humboldt, (NV)""",,Rural,,,,,,
32015,"""Lander, (NV)""",,Rural,,,,,,
32017,"""Lincoln, (NV)""",,Rural,,,,,,
32019,"""Lyon, (NV)""",,Rural,,,,,,
32021,"""Mineral, (NV)""",,Rural,,,,,,
32023,"""Nye, (NV)""",,Rural,,,,,,
32027,"""Pershing, (NV)""",,Rural,,,,,,
32029,"""Storey, (NV)""",,Small City,,,,,,
32031,"""Washoe, (NV)""",,Small City,,,,,,
32033,"""White Pine, (NV)""",,Rural,,,,,,
32510,"""Carson City, (NV)""",,Small City,,,,,,
35003,"""Catron, (NM)""",,Rural,,,,,,
35006,"""Cibola, (NM)""",,Rural,,,,,,
35013,"""Do̱a Ana, (NM)""",,Small City,,,,,,
35017,"""Grant, (NM)""",,Rural,,,,,,
35023,"""Hidalgo, (NM)""",,Rural,,,,,,
35029,"""Luna, (NM)""",,Rural,,,,,,
35031,"""McKinley, (NM)""",,Rural,,,,,,
35043,"""Sandoval, (NM)""",,Small City,,,,,,
35045,"""San Juan, (NM)""",,Small City,,,,,,
35051,"""Sierra, (NM)""",,Rural,,,,,,
35053,"""Socorro, (NM)""",,Rural,,,,,,
35061,"""Valencia, (NM)""",,Small City,,,,,,
41023,"""Grant, (OR)""",,Rural,,,,,,
41025,"""Harney, (OR)""",,Rural,,,,,,
41045,"""Malheur, (OR)""",,Rural,,,,,,
49001,"""Beaver, (UT)""",,Rural,,,,,,
49003,"""Box Elder, (UT)""",,Small City,,,,,,
49005,"""Cache, (UT)""",,Small City,,,,,,
49007,"""Carbon, (UT)""",,Rural,,,,,,
49009,"""Daggett, (UT)""",,Rural,,,,,,
49011,"""Davis, (UT)""",,Small City,,,,,,
49013,"""Duchesne, (UT)""",,Rural,,,,,,
49015,"""Emery, (UT)""",,Rural,,,,,,
49017,"""Garfield, (UT)""",,Rural,,,,,,
49019,"""Grand, (UT)""",,Rural,,,,,,
49021,"""Iron, (UT)""",,Rural,,,,,,
49023,"""Juab, (UT)""",,Small City,,,,,,
49025,"""Kane, (UT)""",,Rural,,,,,,
49027,"""Millard, (UT)""",,Rural,,,,,,
49029,"""Morgan, (UT)""",,Small City,,,,,,
49031,"""Piute, (UT)""",,Rural,,,,,,
49033,"""Rich, (UT)""",,Rural,,,,,,
49035,"""Salt Lake, (UT)""",,Urban,,,,,,
49037,"""San Juan, (UT)""",,Rural,,,,,,
49039,"""Sanpete, (UT)""",,Rural,,,,,,
49041,"""Sevier, (UT)""",,Rural,,,,,,
49043,"""Summit, (UT)""",,Rural,,,,,,
49045,"""Tooele, (UT)""",,Suburban,,,,,,
49047,"""Uintah, (UT)""",,Rural,,,,,,
49049,"""Utah, (UT)""",,Small City,,,,,,
49051,"""Wasatch, (UT)""",,Rural,,,,,,
49053,"""Washington, (UT)""",,Small City,,,,,,
49055,"""Wayne, (UT)""",,Rural,,,,,,
49057,"""Weber, (UT)""",,Small City,,,,,,
56003,"""Big Horn, (WY)""",,Rural,,,,,,
56007,"""Carbon, (WY)""",,Rural,,,,,,
56013,"""Fremont, (WY)""",,Rural,,,,,,
56017,"""Hot Springs, (WY)""",,Rural,,,,,,
56023,"""Lincoln, (WY)""",,Rural,,,,,,
56025,"""Natrona, (WY)""",,Small City,,,,,,
56029,"""Park, (WY)""",,Rural,,,,,,
56035,"""Sublette, (WY)""",,Rural,,,,,,
56037,"""Sweetwater, (WY)""",,Rural,,,,,,
56039,"""Teton, (WY)""",,Rural,,,,,,
56041,"""Uinta, (WY)""",,Rural,,,,,,
56043,"""Washakie, (WY)""",,Rural,,,,,,
